"","site.name","shore","max_temp_br","daily_range_br","Hard_Coral","CTB","Macroalgae","Sand","wave_P_max","turb_N_mean_pct"
"1","S11","East",31.5853,0.918228991905813,0.150985915492958,0.593239436619718,0.0253521126760563,0.223802816901408,107.576821092232,0.566
"2","S12","West",31.4444,0.815325634057971,0.18609375,0.38515625,0.1471875,0.27703125,188.768840104615,0.573333333333333
"3","S14","West",31.6596,0.98758045112782,0.227972972972973,0.469189189189189,0.116216216216216,0.182837837837838,188.768840104615,0.592
"4","S15","West",31.7281,0.955810192837466,0.255394736842105,0.457368421052632,0.0363157894736842,0.248289473684211,188.768840104615,0.588333333333333
"5","S18","West",31.2775,1.3820704887218,0.198627450980392,0.553921568627451,0.0476470588235294,0.193921568627451,188.768840104615,0.526666666666667
"6","S2","North",30.9559,0.730784535315985,0.03,0.702448979591837,0.228571428571429,0.0377551020408163,57.4002284616276,0.605
"7","S3","North",31.1281,0.672934910836763,0.0385714285714286,0.558714285714286,0.202142857142857,0.199,57.4002284616276,0.628
"8","S4","North",30.8245,0.791899318181818,0.0755128205128206,0.235641025641026,0.00858974358974359,0.679102564102564,57.4002284616276,0.596666666666667
"9","S5","North",30.552,0.804949385964912,0.136363636363636,0.481298701298701,0.054025974025974,0.327402597402597,57.4002284616276,0.583333333333333
"10","S6","East",31.0482,0.72641369089626,0.228032786885246,0.32983606557377,0.195081967213115,0.246065573770492,107.576821092232,0.59
"11","S9","East",30.9338,0.573373295454546,0.0175324675324675,0.802337662337662,0.103636363636364,0.075974025974026,107.576821092232,0.518
